Artikelnr.,Ordercode,RoHS-compatibel?,Uw art.nr.,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
1,1578490,RoHS: YES / FTALATEN: TBA,,,5.0,"MC34657",MULTICOMP,"MULTICOMP  Wire-To-Board Connector, 4.2 mm, 2 Contacts, Header, 2266(5566)S Series, Through Hole, 2 Rows",689,0.2650,1.33,,
2,1704304,RoHS: YES / FTALATEN: TBA,,,10.0,"39-01-3022",MOLEX,"MOLEX  Connector Housing, No Pull Tabs, UL 94V-2, Mini-Fit Jr. 5557 Series, Receptacle, 2 Ways, 4.2 mm",17212,0.2120,2.12,,
3,1717002,RoHS: YES / FTALATEN: TBA,,,10.0,"CTB5202/3",CAMDENBOSS,"CAMDENBOSS  Standard Terminal Block, Wire to Board, CTB5202 Series, 3 Contacts, 5 mm, Terminal Block, PCB",11530,0.3640,3.64,,
4,1593461,RoHS: YES / FTALATEN: TBA,,,10.0,"2212S-05SG-85",MULTICOMP,"MULTICOMP  Board-To-Board Connector, 2.54 mm, 5 Contacts, Receptacle, 2212S Series, Through Hole, 1 Rows",Out of Stock,0.1460,1.46,,
5,1854512,RoHS: YES / FTALATEN: TBA,,,1.0,"FC681465P",CLIFF ELECTRONIC COMPONENTS,"CLIFF ELECTRONIC COMPONENTS  DC Power Connector, Socket, 5 A, 2.5 mm, PCB Mount, Solder",15554,1.7300,1.73,,
6,2668404,RoHS: YES / FTALATEN: TBA,,,10.0,"DILB14P-223TLF",AMPHENOL ICC (FCI),"AMPHENOL ICC (FCI)  IC & Component Socket, 14 Contacts, DIP Socket, 2.54 mm, 7.62 mm, Copper Alloy",3447,0.1480,1.48,,
7,2847248,RoHS: YES / FTALATEN: TBA,,,1.0,"2214S-40SG-85",MULTICOMP,"MULTICOMP  Board-To-Board Connector, 2.54 mm, 40 Contacts, Receptacle, Through Hole, 2 Rows",5824,1.0100,1.01,,
8,2990790,RoHS: YES / FTALATEN: TBA,,,1.0,"RDEC71H106K3K1H03B",MURATA,"MURATA  Multilayer Ceramic Capacitor, 10 µF, 50 V, RDE Series, ± 10%, Radial Leaded, X7S",901,1.5700,1.57,,
9,2990789,RoHS: YES / FTALATEN: TBA,,,1.0,"RDEC71E226K3K1H03B",MURATA,"MURATA  Multilayer Ceramic Capacitor, 22 µF, 25 V, RDE Series, ± 10%, Radial Leaded, X7S",211,2.3100,2.31,,
10,1700228,RoHS: YES / FTALATEN: TBA,,,5.0,"MCRE000029",MULTICOMP,"MULTICOMP  Through Hole Resistor, 220 ohm, MCRE Series, 125 mW, ± 5%, Axial Leaded, 200 V",9048,0.0204,0.10,,
11,2725179,RoHS: YES / FTALATEN: TBA,,,5.0,"2213S-40G",MULTICOMP,"MULTICOMP  Board-To-Board Connector, 2.54 mm, 40 Contacts, Header, Through Hole, 2 Rows",Out of Stock,0.2600,1.30,,
12,2431245,RoHS: YES / FTALATEN: TBA,,,5.0,"352-512-04",MARL,"MARL  LED Panel Mount Indicator, Green, 2.1 VDC, 6.35 mm, 20 mA, 40 mcd, Not Rated",43,0.2930,1.47,,
13,1756650,RoHS: YES / FTALATEN: TBA,,,10.0,"39-00-0046",MOLEX,"MOLEX  Contact, Mini-Fit Jr. 5556 Series, Socket, Crimp, 22 AWG, Tin Plated Contacts",40400,0.0200,0.20,,
14,2762509,RoHS: YES / FTALATEN: TBA,,,1.0,"BC-32672",BUD INDUSTRIES,"BUD INDUSTRIES  Jumper Wire, Bundle, 26 AWG, 10 Wires, Female - Female, 300 mm",103,3.9900,3.99,,
15,2494583,RoHS: YES / FTALATEN: TBA,,,10.0,"05.12.113",ETTINGER,"ETTINGER  Standoff, Nickel Plated, Brass, M2.5, Hex Male-Female, 11 mm, 05.12 Series",6511,0.3750,3.75,,
16,1419446,RoHS: YES / FTALATEN: TBA,,,1.0,"M2.5- HFST-Z100-",TR FASTENINGS,"TR FASTENINGS  Nut, Hex, M2.5, Steel, Bright Zinc Plated, Pack of 100",1493,1.3900,1.39,,
17,2494520,RoHS: YES / FTALATEN: TBA,,,10.0,"01.51.221",ETTINGER,"ETTINGER  Machine Screw, M2.5, 6 mm, Steel 8.8, Zinc, Pan Head Torx",11965,0.0701,0.70,,
18,1749628,RoHS: YES / FTALATEN: TBA,,,5.0,"SN74AHCT125N .",TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Buffer, 74AHCT125, 4.5 V to 5.5 V, DIP-14",151 Beschikbaar tot einde voorraad,0.3200,1.60,,
19,678132,RoHS: YES / FTALATEN: TBA,,,5.0,"H8800VACL133",ARCOLECTRIC,"ARCOLECTRIC  Rocker Switch, On-Off, SPST, Non Illuminated, Panel, Black, 8800 Series",4479,0.6800,3.40,,
20,1097954,RoHS: YES / FTALATEN: TBA,,,1.0,"77311-401-36LF",AMPHENOL ICC (FCI),"AMPHENOL ICC (FCI)  Board-To-Board Connector, 2.54 mm, 36 Contacts, Header, BergStik 77311 Series, Through Hole, 1 Rows",17275,0.9430,0.94,,

,,,,,,,Subtotaal,35.49
,,,,,,,Totaal aantal goederen,35.49
,,,,,,,Levering,0.00
,,,,,,,BTW,7.45
,,,,,,,Totaal,42.94
